d:200,1544451790.74
r:10,1544451794.99
r:10,1544451795.49
r:10,1544451795.52
r:10,1544451795.56
r:10,1544451795.59
r:10,1544451795.62
r:10,1544451795.65
r:10,1544451795.68
r:10,1544451795.71
r:10,1544451795.74
r:10,1544451795.77
r:10,1544451795.8
r:10,1544451795.83
r:10,1544451795.86
r:10,1544451795.89
r:10,1544451795.92
l:10,1544451796.1
l:10,1544451796.6
l:10,1544451796.63
l:10,1544451796.66
l:10,1544451796.69
l:10,1544451796.72
l:10,1544451796.75
l:10,1544451796.78
l:10,1544451796.81
l:10,1544451796.84
l:10,1544451796.87
l:10,1544451796.9
l:10,1544451796.93
l:10,1544451796.96
l:10,1544451796.99
l:10,1544451797.02
l:10,1544451797.05
